Capability,Tool,Status,Integrated,Working
AI,recon_3,Metadata Only,No,No
AI,registry_4,Metadata Only,No,No
AI,registry_8,Metadata Only,No,No
AI,registry_bridge,Metadata Only,No,No
AI,remediation-agent,Metadata Only,No,No
Port Scanning,report-output-provider,Metadata Only,No,No
Port Scanning,reporting-remediation,Metadata Only,No,No
Port Scanning,report_agent,Metadata Only,No,No
AI,result,Metadata Only,No,No
AI,role,Metadata Only,No,No
AI,router,Metadata Only,No,No
AI,runner_reasoning_history_test,Metadata Only,No,No
AI,run_context,Metadata Only,No,No
AI,save-deliverable,Metadata Only,No,No
AI,service_1,Metadata Only,No,No
AI,settings_3,Metadata Only,No,No
AI,settings_4,Metadata Only,No,No
AI,skills,Metadata Only,No,No
AI,splash,Metadata Only,No,No
AI,sse_stream,Metadata Only,No,No
AI,styles,Metadata Only,No,No
AI,summary-mapper,Metadata Only,No,No
AI,task_handler,Metadata Only,No,No
AI,task_manager,Metadata Only,No,No
AI,task_processor,Metadata Only,No,No
AI,task_tree_manager,Metadata Only,No,No
AI,test-multibar,Metadata Only,No,No
AI,test_async_prompt,Metadata Only,No,No
AI,test_backend_interface,Metadata Only,No,No
AI,test_base_agent_coverage,Metadata Only,No,No
AI,test_controller,Metadata Only,No,No
AI,test_cost_tracker,Metadata Only,No,No
AI,test_events,Metadata Only,No,No
AI,test_install_planner,Metadata Only,No,No
AI,test_integration,Metadata Only,No,No
AI,test_langfuse,Metadata Only,No,No
AI,test_mcp_auth_session_reuse,Metadata Only,No,No
AI,test_mcp_client_and_hitl,Metadata Only,No,No
AI,test_mcp_server,Metadata Only,No,No
AI,test_output_parser,Metadata Only,No,No
AI,test_playbook,Metadata Only,No,No
AI,test_stage2_integration,Metadata Only,No,No
AI,test_trigger_system,Metadata Only,No,No
Web Enumeration,test_web_agent_set_auth,Metadata Only,No,No
AI,tmux_manager,Metadata Only,No,No
AI,tool_error_middleware,Metadata Only,No,No
AI,tool_error_middleware_test,Metadata Only,No,No
AI,tool_invoke_notify,Metadata Only,No,No
AI,tracer,Metadata Only,No,No
AI,trigger_system,Metadata Only,No,No
AI,truncate_test,Metadata Only,No,No
AI,tsdownconfig,Metadata Only,No,No
AI,tui,Metadata Only,No,No
AI,types_7,Metadata Only,No,No
AI,utils,Metadata Only,No,No
AI,validate,Metadata Only,No,No
AI,validate-authentication,Metadata Only,No,No
AI,validation-harness,Metadata Only,No,No
AI,vulnerability-triage,Metadata Only,No,No
Web Enumeration,Web,Metadata Only,No,No
Web Enumeration,webshell_context,Metadata Only,No,No
Web Enumeration,webshell_context_test,Metadata Only,No,No
Web Enumeration,webshell_probe,Metadata Only,No,No
AI,wechat,Metadata Only,No,No
AI,wireless_agent,Metadata Only,No,No
AI,workflow-logger,Metadata Only,No,No
AI,workflow_engine,Metadata Only,No,No
AI,_14,Metadata Only,No,No
AI,_rules_1,Metadata Only,No,No
AI,_target_1,Metadata Only,No,No
AI,__init___109,Metadata Only,No,No
AI,__init___11,Metadata Only,No,No
AI,__init___141,Metadata Only,No,No
AI,__init___144,Metadata Only,No,No
AI,__init___17,Metadata Only,No,No
AI,__init___202,Metadata Only,No,No
AI,__init___211,Metadata Only,No,No
AI,__init___29,Metadata Only,No,No
AI,__init___31,Metadata Only,No,No
AI,__init___50,Metadata Only,No,No
AI,__init___52,Metadata Only,No,No
AI,__init___6,Metadata Only,No,No
AI,__init___70,Metadata Only,No,No
General,activities,Metadata Only,No,No
General,agent-execution,Metadata Only,No,No
General,agents,Metadata Only,No,No
General,agent_1,Metadata Only,No,No
General,agent_runner,Metadata Only,No,No
General,agent_test,Metadata Only,No,No
General,anthropic_agent,Metadata Only,No,No
General,anthropic_official,Metadata Only,No,No
General,api,Metadata Only,No,No
General,api-discoverer-agent,Metadata Only,No,No
General,api-discovery,Metadata Only,No,No
General,api-discoverytest,Metadata Only,No,No
General,api-docs,Metadata Only,No,No
General,api-schema-analyzer,Metadata Only,No,No
General,apitest,Metadata Only,No,No
General,api_authentication,Metadata Only,No,No
General,api_pipeline,Metadata Only,No,No
General,app,Metadata Only,No,No
General,app_2,Metadata Only,No,No
General,app_config,Metadata Only,No,No
General,asvs-mapper,Metadata Only,No,No
General,async_prompt,Metadata Only,No,No
AI,attackchain,Metadata Only,No,No
General,audit,Metadata Only,No,No
General,audit-session,Metadata Only,No,No
General,audit_1,Metadata Only,No,No
General,aup_consent,Metadata Only,No,No
General,auth,Metadata Only,No,No
General,auth_analyzer,Metadata Only,No,No
General,auth_cache,Metadata Only,No,No
General,backend,Metadata Only,No,No
General,banner_analyzer,Metadata Only,No,No
General,billing-detection,Metadata Only,No,No
General,build,Metadata Only,No,No
General,build-mvn,Metadata Only,No,No
General,burp_client,Metadata Only,No,No
General,burp_commands,Metadata Only,No,No
General,business-logic-agent,Metadata Only,No,No
General,c2_lifecycle,Metadata Only,No,No
General,c2_tools,Metadata Only,No,No
General,captcha_replay,Metadata Only,No,No
AI,chain,Metadata Only,No,No
General,chat-files,Metadata Only,No,No
General,chatgpt,Metadata Only,No,No
General,chatgpt_api,Metadata Only,No,No
General,chatgpt_config_sample,Metadata Only,No,No
General,chat_config,Metadata Only,No,No
General,checkpoint,Metadata Only,No,No
General,checkpoint-manager,Metadata Only,No,No
General,citations,Metadata Only,No,No
AI,clair,Metadata Only,No,No
General,claude_bridge,Metadata Only,No,No
General,client,Metadata Only,No,No
General,CODE_OF_CONDUCT,Metadata Only,No,No
General,config,Metadata Only,No,No
General,config-loader,Metadata Only,No,No
General,config_2,Metadata Only,No,No
General,config_5,Metadata Only,No,No
General,config_6,Metadata Only,No,No
General,conftest,Metadata Only,No,No
General,constants,Metadata Only,No,No
General,content_fingerprint,Metadata Only,No,No
General,CONTRIBUTING_2,Metadata Only,No,No
General,CONTRIBUTING_3,Metadata Only,No,No
General,CONTRIBUTING_4,Metadata Only,No,No
General,conversation,Metadata Only,No,No
General,corpus,Metadata Only,No,No
General,cors-probe-agent,Metadata Only,No,No
General,cors_reflection,Metadata Only,No,No
General,cortex,Metadata Only,No,No
General,coupon_forging,Metadata Only,No,No
General,credential_detector,Metadata Only,No,No
General,cve_db,Metadata Only,No,No
General,cve_poc_primitives,Metadata Only,No,No
General,cvss-calculator,Metadata Only,No,No
AI,CyberStrikeAIClient,Metadata Only,No,No
AI,CyberStrikeAIClientAgentMode,Metadata Only,No,No
General,dark-matter,Metadata Only,No,No
General,dark-mattertest,Metadata Only,No,No
General,dashboard,Metadata Only,No,No
General,dashboard_2,Metadata Only,No,No
General,DATA-PRIVACY,Metadata Only,No,No
General,datasrcs,Metadata Only,No,No
General,debug,Metadata Only,No,No
General,DECISION,Metadata Only,No,No
General,deepseek,Metadata Only,No,No
General,deepseek_api,Metadata Only,No,No
General,default_single_system_prompt,Metadata Only,No,No
General,DEPLOYMENT,Metadata Only,No,No
General,deserialization,Metadata Only,No,No
General,documentation-agent,Metadata Only,No,No
General,doc_3,Metadata Only,No,No
General,DPA,Metadata Only,No,No
General,eino,Metadata Only,No,No
General,eino_single_runner,Metadata Only,No,No
General,eino_test,Metadata Only,No,No
General,eino_transient_retry,Metadata Only,No,No
General,eino_transient_retry_test,Metadata Only,No,No
General,embedding,Metadata Only,No,No
General,endpoint_classifier,Metadata Only,No,No
General,engineapi_test,Metadata Only,No,No
General,envexpand_test,Metadata Only,No,No
General,env_2,Metadata Only,No,No
General,env_4,Metadata Only,No,No
General,error-handling,Metadata Only,No,No
General,ErrorPatternAnalyzertest,Metadata Only,No,No
General,errors,Metadata Only,No,No
General,evidence,Metadata Only,No,No
General,executor_2,Metadata Only,No,No
General,exploit-authz_1,Metadata Only,No,No
General,exploit-authz_3,Metadata Only,No,No
General,express-scaffold,Metadata Only,No,No
General,external_mcp_test,Metadata Only,No,No
General,extract_cookie,Metadata Only,No,No
General,facebook,Metadata Only,No,No
General,feature-collector,Metadata Only,No,No
General,forced_error,Metadata Only,No,No
General,frontend-i18n,Metadata Only,No,No
General,gemini,Metadata Only,No,No
General,gemini_api,Metadata Only,No,No
General,getting-started,Metadata Only,No,No
General,gpt4all_api,Metadata Only,No,No
General,graphql,Metadata Only,No,No
Port Scanning,graphql-scanner,Metadata Only,No,No
General,graphql_introspection,Metadata Only,No,No
General,graphql_tool,Metadata Only,No,No
General,hackertarget,Metadata Only,No,No
