Repository,Location,Language,Status,Entry Point,Integration Type,Notes
ground-truth-agent,plugins\ai_systems\ground-truth-agent,Python,Metadata Only,,Plugin,
group,plugins\ai_systems\group,Python,Metadata Only,,Plugin,
hitl_context,plugins\ai_systems\hitl_context,Python,Metadata Only,,Plugin,
hitl_middleware,plugins\ai_systems\hitl_middleware,Python,Metadata Only,,Plugin,
holder,plugins\ai_systems\holder,Python,Metadata Only,,Plugin,
HttpMessageFormatter,plugins\ai_systems\HttpMessageFormatter,Python,Metadata Only,,Plugin,
impact-exfiltration,plugins\ai_systems\impact-exfiltration,Python,Metadata Only,,Plugin,
index,plugins\ai_systems\index,Python,Metadata Only,,Plugin,
index_12,plugins\ai_systems\index_12,Python,Metadata Only,,Plugin,
index_3,plugins\ai_systems\index_3,Python,Metadata Only,,Plugin,
index_4,plugins\ai_systems\index_4,Python,Metadata Only,,Plugin,
index_9,plugins\ai_systems\index_9,Python,Metadata Only,,Plugin,
install_preferences,plugins\ai_systems\install_preferences,Python,Metadata Only,,Plugin,
interrupt,plugins\ai_systems\interrupt,Python,Metadata Only,,Plugin,
lateral-movement,plugins\ai_systems\lateral-movement,Python,Metadata Only,,Plugin,
layout,plugins\ai_systems\layout,Python,Metadata Only,,Plugin,
listener_tcp,plugins\ai_systems\listener_tcp,Python,Metadata Only,,Plugin,
log-stream,plugins\ai_systems\log-stream,Python,Metadata Only,,Plugin,
logger,plugins\ai_systems\logger,Python,Metadata Only,,Plugin,
logger_1,plugins\ai_systems\logger_1,Python,Metadata Only,,Plugin,
login-instructions,plugins\ai_systems\login-instructions,Python,Metadata Only,,Plugin,
login-instructions_1,plugins\ai_systems\login-instructions_1,Python,Metadata Only,,Plugin,
logo,plugins\ai_systems\logo,Python,Metadata Only,,Plugin,
main_12,plugins\ai_systems\main_12,Python,Metadata Only,,Plugin,
main_3,plugins\ai_systems\main_3,Python,Metadata Only,,Plugin,
main_8,plugins\ai_systems\main_8,Python,Metadata Only,,Plugin,
markdown_orchestrator_test,plugins\ai_systems\markdown_orchestrator_test,Python,Metadata Only,,Plugin,
mcp_pent_claude_agent,plugins\ai_systems\mcp_pent_claude_agent,Python,Metadata Only,,Plugin,
mcp_tools,plugins\ai_systems\mcp_tools,Python,Metadata Only,,Plugin,
memory,plugins\ai_systems\memory,Python,Metadata Only,,Plugin,
metrics,plugins\ai_systems\metrics,Python,Metadata Only,,Plugin,
models,plugins\ai_systems\models,Python,Metadata Only,,Plugin,
model_manager,plugins\ai_systems\model_manager,Python,Metadata Only,,Plugin,
multi_agent_prepare,plugins\ai_systems\multi_agent_prepare,Python,Metadata Only,,Plugin,
navigator,plugins\ai_systems\navigator,Python,Metadata Only,,Plugin,
normalize_streaming_delta_test,plugins\ai_systems\normalize_streaming_delta_test,Python,Metadata Only,,Plugin,
normalize_streaming_eof_test,plugins\ai_systems\normalize_streaming_eof_test,Python,Metadata Only,,Plugin,
opsec-evasion,plugins\ai_systems\opsec-evasion,Python,Metadata Only,,Plugin,
orchestratortest,plugins\ai_systems\orchestratortest,Python,Metadata Only,,Plugin,
orchestrator_instruction,plugins\ai_systems\orchestrator_instruction,Python,Metadata Only,,Plugin,
orphan_tool_pruner_middleware_test,plugins\ai_systems\orphan_tool_pruner_middleware_test,Python,Metadata Only,,Plugin,
otel,plugins\ai_systems\otel,Python,Metadata Only,,Plugin,
package-lock_1,plugins\ai_systems\package-lock_1,Python,Metadata Only,,Plugin,
package_2,plugins\ai_systems\package_2,Python,Metadata Only,,Plugin,
package_4,plugins\ai_systems\package_4,Python,Metadata Only,,Plugin,
paths_1,plugins\ai_systems\paths_1,Python,Metadata Only,,Plugin,
payload_builder,plugins\ai_systems\payload_builder,Python,Metadata Only,,Plugin,
PentestGPT_design,plugins\ai_systems\PentestGPT_design,Python,Metadata Only,,Plugin,
persistence-maintenance,plugins\ai_systems\persistence-maintenance,Python,Metadata Only,,Plugin,
