Repository,Location,Language,Status,Entry Point,Integration Type,Notes
package_3,plugins\cloud\package_3,Python,Wrapper Only,plugin.py,Plugin,
pacu,plugins\cloud\pacu,Python,Wrapper Only,plugin.py,Plugin,
pentestgpt_executor,plugins\cloud\pentestgpt_executor,Python,Wrapper Only,plugin.py,Plugin,
PentestGPT_Hackable2,plugins\cloud\PentestGPT_Hackable2,Python,Wrapper Only,plugin.py,Plugin,
plugins,plugins\cloud\plugins,Python,Wrapper Only,plugin.py,Plugin,
pnpm-lock,plugins\cloud\pnpm-lock,Python,Wrapper Only,plugin.py,Plugin,
poc-validator,plugins\cloud\poc-validator,Python,Wrapper Only,plugin.py,Plugin,
pre-recon-code,plugins\cloud\pre-recon-code,Python,Wrapper Only,plugin.py,Plugin,
privesc-advisor,plugins\cloud\privesc-advisor,Python,Wrapper Only,plugin.py,Plugin,
privesc_agent,plugins\cloud\privesc_agent,Python,Wrapper Only,plugin.py,Plugin,
prowler,plugins\cloud\prowler,Python,Wrapper Only,plugin.py,Plugin,
pyproject_3,plugins\cloud\pyproject_3,Python,Wrapper Only,plugin.py,Plugin,
quick-start,plugins\cloud\quick-start,Python,Wrapper Only,plugin.py,Plugin,
README_21,plugins\cloud\README_21,Python,Wrapper Only,plugin.py,Plugin,
README_22,plugins\cloud\README_22,Python,Wrapper Only,plugin.py,Plugin,
README_28,plugins\cloud\README_28,Python,Wrapper Only,plugin.py,Plugin,
README_29,plugins\cloud\README_29,Python,Wrapper Only,plugin.py,Plugin,
README_30,plugins\cloud\README_30,Python,Wrapper Only,plugin.py,Plugin,
reconcloud,plugins\cloud\reconcloud,Python,Wrapper Only,plugin.py,Plugin,
reconx,plugins\cloud\reconx,Python,Wrapper Only,plugin.py,Plugin,
release-beta,plugins\cloud\release-beta,Python,Wrapper Only,plugin.py,Plugin,
release_1,plugins\cloud\release_1,Python,Wrapper Only,plugin.py,Plugin,
requirements_7,plugins\cloud\requirements_7,Python,Wrapper Only,plugin.py,Plugin,
resolver,plugins\cloud\resolver,Python,Wrapper Only,plugin.py,Plugin,
results,plugins\cloud\results,Python,Wrapper Only,plugin.py,Plugin,
role-management,plugins\cloud\role-management,Python,Wrapper Only,plugin.py,Plugin,
rollback,plugins\cloud\rollback,Python,Wrapper Only,plugin.py,Plugin,
rsecloud,plugins\cloud\rsecloud,Python,Wrapper Only,plugin.py,Plugin,
s3scanner,plugins\cloud\s3scanner,Python,Wrapper Only,plugin.py,Plugin,
s3_scanner,plugins\cloud\s3_scanner,Python,Wrapper Only,plugin.py,Plugin,
sarif,plugins\cloud\sarif,Python,Wrapper Only,plugin.py,Plugin,
scan_pipeline,plugins\cloud\scan_pipeline,Python,Wrapper Only,plugin.py,Plugin,
scan_running,plugins\cloud\scan_running,Python,Wrapper Only,plugin.py,Plugin,
scout-suite,plugins\cloud\scout-suite,Python,Wrapper Only,plugin.py,Plugin,
Screenshot2,plugins\cloud\Screenshot2,Python,Wrapper Only,plugin.py,Plugin,
Screenshot3,plugins\cloud\Screenshot3,Python,Wrapper Only,plugin.py,Plugin,
Screenshot4,plugins\cloud\Screenshot4,Python,Wrapper Only,plugin.py,Plugin,
secret-scanner-agent,plugins\cloud\secret-scanner-agent,Python,Wrapper Only,plugin.py,Plugin,
secure_credential,plugins\cloud\secure_credential,Python,Wrapper Only,plugin.py,Plugin,
security,plugins\cloud\security,Python,Wrapper Only,plugin.py,Plugin,
SECURITY_3,plugins\cloud\SECURITY_3,Python,Wrapper Only,plugin.py,Plugin,
selection_agent,plugins\cloud\selection_agent,Python,Wrapper Only,plugin.py,Plugin,
server_mcp_pentest_18,plugins\cloud\server_mcp_pentest_18,Python,Wrapper Only,plugin.py,Plugin,
service_analyzer,plugins\cloud\service_analyzer,Python,Wrapper Only,plugin.py,Plugin,
service_correlator_1,plugins\cloud\service_correlator_1,Python,Wrapper Only,plugin.py,Plugin,
settings_2,plugins\cloud\settings_2,Python,Wrapper Only,plugin.py,Plugin,
setup,plugins\cloud\setup,Python,Wrapper Only,plugin.py,Plugin,
setup_1,plugins\cloud\setup_1,Python,Wrapper Only,plugin.py,Plugin,
shannon-banner,plugins\cloud\shannon-banner,Python,Wrapper Only,plugin.py,Plugin,
SHANNON-PRO_1,plugins\cloud\SHANNON-PRO_1,Python,Wrapper Only,plugin.py,Plugin,
shannon-report-capital-api,plugins\cloud\shannon-report-capital-api,Python,Wrapper Only,plugin.py,Plugin,
shannon-screen,plugins\cloud\shannon-screen,Python,Wrapper Only,plugin.py,Plugin,
shodan,plugins\cloud\shodan,Python,Wrapper Only,plugin.py,Plugin,
six2dez_reconftw-stars-history,plugins\cloud\six2dez_reconftw-stars-history,Python,Wrapper Only,plugin.py,Plugin,
SKILL_1,plugins\cloud\SKILL_1,Python,Wrapper Only,plugin.py,Plugin,
SKILL_14,plugins\cloud\SKILL_14,Python,Wrapper Only,plugin.py,Plugin,
SKILL_16,plugins\cloud\SKILL_16,Python,Wrapper Only,plugin.py,Plugin,
SKILL_17,plugins\cloud\SKILL_17,Python,Wrapper Only,plugin.py,Plugin,
SKILL_4,plugins\cloud\SKILL_4,Python,Wrapper Only,plugin.py,Plugin,
social-engineer,plugins\cloud\social-engineer,Python,Wrapper Only,plugin.py,Plugin,
sponsor-wechat-alipay-qr,plugins\cloud\sponsor-wechat-alipay-qr,Python,Wrapper Only,plugin.py,Plugin,
ssrf_cloud_metadata,plugins\cloud\ssrf_cloud_metadata,Python,Wrapper Only,plugin.py,Plugin,
ssrf_payloads,plugins\cloud\ssrf_payloads,Python,Wrapper Only,plugin.py,Plugin,
stop,plugins\cloud\stop,Python,Wrapper Only,plugin.py,Plugin,
tch,plugins\cloud\tch,Python,Wrapper Only,plugin.py,Plugin,
tcp_beacon_server,plugins\cloud\tcp_beacon_server,Python,Wrapper Only,plugin.py,Plugin,
teardown,plugins\cloud\teardown,Python,Wrapper Only,plugin.py,Plugin,
techdetect,plugins\cloud\techdetect,Python,Wrapper Only,plugin.py,Plugin,
terraform-reconFTW,plugins\cloud\terraform-reconFTW,Python,Wrapper Only,plugin.py,Plugin,
test_ad_agent_e2e_smoke,plugins\cloud\test_ad_agent_e2e_smoke,Python,Wrapper Only,plugin.py,Plugin,
test_agents,plugins\cloud\test_agents,Python,Wrapper Only,plugin.py,Plugin,
test_benchmark_cli,plugins\cloud\test_benchmark_cli,Python,Wrapper Only,plugin.py,Plugin,
test_chain_context_discriminator,plugins\cloud\test_chain_context_discriminator,Python,Wrapper Only,plugin.py,Plugin,
test_cli_menu,plugins\cloud\test_cli_menu,Python,Wrapper Only,plugin.py,Plugin,
test_cloud_agent_e2e_smoke,plugins\cloud\test_cloud_agent_e2e_smoke,Python,Wrapper Only,plugin.py,Plugin,
test_container_health,plugins\cloud\test_container_health,Python,Wrapper Only,plugin.py,Plugin,
test_docker_build,plugins\cloud\test_docker_build,Python,Wrapper Only,plugin.py,Plugin,
test_flag_detection,plugins\cloud\test_flag_detection,Python,Wrapper Only,plugin.py,Plugin,
test_litellm_provider,plugins\cloud\test_litellm_provider,Python,Wrapper Only,plugin.py,Plugin,
test_misc_coverage_2,plugins\cloud\test_misc_coverage_2,Python,Wrapper Only,plugin.py,Plugin,
test_probe_ssrf_cloud_metadata,plugins\cloud\test_probe_ssrf_cloud_metadata,Python,Wrapper Only,plugin.py,Plugin,
test_providers_and_small_agents,plugins\cloud\test_providers_and_small_agents,Python,Wrapper Only,plugin.py,Plugin,
test_selection_agent,plugins\cloud\test_selection_agent,Python,Wrapper Only,plugin.py,Plugin,
trufflehog,plugins\cloud\trufflehog,Python,Wrapper Only,plugin.py,Plugin,
type_confusion,plugins\cloud\type_confusion,Python,Wrapper Only,plugin.py,Plugin,
uninstall,plugins\cloud\uninstall,Python,Wrapper Only,plugin.py,Plugin,
USAGE,plugins\cloud\USAGE,Python,Wrapper Only,plugin.py,Plugin,
usage_input,plugins\cloud\usage_input,Python,Wrapper Only,plugin.py,Plugin,
usage_output,plugins\cloud\usage_output,Python,Wrapper Only,plugin.py,Plugin,
usage_server1,plugins\cloud\usage_server1,Python,Wrapper Only,plugin.py,Plugin,
usage_server2,plugins\cloud\usage_server2,Python,Wrapper Only,plugin.py,Plugin,
variables,plugins\cloud\variables,Python,Wrapper Only,plugin.py,Plugin,
vectorDB,plugins\cloud\vectorDB,Python,Wrapper Only,plugin.py,Plugin,
vuln-auth,plugins\cloud\vuln-auth,Python,Wrapper Only,plugin.py,Plugin,
vuln-authz,plugins\cloud\vuln-authz,Python,Wrapper Only,plugin.py,Plugin,
vuln-authz_2,plugins\cloud\vuln-authz_2,Python,Wrapper Only,plugin.py,Plugin,
vuln-auth_2,plugins\cloud\vuln-auth_2,Python,Wrapper Only,plugin.py,Plugin,
vuln-injection,plugins\cloud\vuln-injection,Python,Wrapper Only,plugin.py,Plugin,
vuln-injection_2,plugins\cloud\vuln-injection_2,Python,Wrapper Only,plugin.py,Plugin,
vuln-xss,plugins\cloud\vuln-xss,Python,Wrapper Only,plugin.py,Plugin,
vuln-xss_2,plugins\cloud\vuln-xss_2,Python,Wrapper Only,plugin.py,Plugin,
vulnerability-management,plugins\cloud\vulnerability-management,Python,Wrapper Only,plugin.py,Plugin,
waf-detector-agent,plugins\cloud\waf-detector-agent,Python,Wrapper Only,plugin.py,Plugin,
wafw00f,plugins\cloud\wafw00f,Python,Wrapper Only,plugin.py,Plugin,
web-console,plugins\cloud\web-console,Python,Wrapper Only,plugin.py,Plugin,
wechat-group-cyberstrikeai-qr,plugins\cloud\wechat-group-cyberstrikeai-qr,Python,Wrapper Only,plugin.py,Plugin,
workflow_center,plugins\cloud\workflow_center,Python,Wrapper Only,plugin.py,Plugin,
workspaces,plugins\cloud\workspaces,Python,Wrapper Only,plugin.py,Plugin,
zh-CN,plugins\cloud\zh-CN,Python,Wrapper Only,plugin.py,Plugin,
_10,plugins\cloud\_10,Python,Wrapper Only,plugin.py,Plugin,
__init___119,plugins\cloud\__init___119,Python,Wrapper Only,plugin.py,Plugin,
__init___26,plugins\cloud\__init___26,Python,Wrapper Only,plugin.py,Plugin,
__init___78,plugins\cloud\__init___78,Python,Wrapper Only,plugin.py,Plugin,
404StarLinkLogo,plugins\cloud_security\404StarLinkLogo,Python,Metadata Only,,Plugin,
agent-management,plugins\cloud_security\agent-management,Python,Metadata Only,,Plugin,
agents-for,plugins\cloud_security\agents-for,Python,Metadata Only,,Plugin,
ai_analysis,plugins\cloud_security\ai_analysis,Python,Metadata Only,,Plugin,
alterations,plugins\cloud_security\alterations,Python,Metadata Only,,Plugin,
announcements,plugins\cloud_security\announcements,Python,Metadata Only,,Plugin,
AUP,plugins\cloud_security\AUP,Python,Metadata Only,,Plugin,
auth_profiles,plugins\cloud_security\auth_profiles,Python,Metadata Only,,Plugin,
aws,plugins\cloud_security\aws,Python,Metadata Only,,Plugin,
aws_sm,plugins\cloud_security\aws_sm,Python,Metadata Only,,Plugin,
azure,plugins\cloud_security\azure,Python,Metadata Only,,Plugin,
azure_recon,plugins\cloud_security\azure_recon,Python,Metadata Only,,Plugin,
banner_2,plugins\cloud_security\banner_2,Python,Metadata Only,,Plugin,
benchmark_runner,plugins\cloud_security\benchmark_runner,Python,Metadata Only,,Plugin,
bizlogic-hunter,plugins\cloud_security\bizlogic-hunter,Python,Metadata Only,,Plugin,
bucket_correlator,plugins\cloud_security\bucket_correlator,Python,Metadata Only,,Plugin,
bug_report,plugins\cloud_security\bug_report,Python,Metadata Only,,Plugin,
build,plugins\cloud_security\build,Python,Metadata Only,,Plugin,
ccr-config-template,plugins\cloud_security\ccr-config-template,Python,Metadata Only,,Plugin,
chat,plugins\cloud_security\chat,Python,Metadata Only,,Plugin,
chatgpt_config_curl,plugins\cloud_security\chatgpt_config_curl,Python,Metadata Only,,Plugin,
ChatGPT_key,plugins\cloud_security\ChatGPT_key,Python,Metadata Only,,Plugin,
checkov,plugins\cloud_security\checkov,Python,Metadata Only,,Plugin,
ci_1,plugins\cloud_security\ci_1,Python,Metadata Only,,Plugin,
ci_cd_cloud,plugins\cloud_security\ci_cd_cloud,Python,Metadata Only,,Plugin,
ci_cd_cloud_mapper,plugins\cloud_security\ci_cd_cloud_mapper,Python,Metadata Only,,Plugin,
claude-executor,plugins\cloud_security\claude-executor,Python,Metadata Only,,Plugin,
CLAUDE_2,plugins\cloud_security\CLAUDE_2,Python,Metadata Only,,Plugin,
CLAUDE_3,plugins\cloud_security\CLAUDE_3,Python,Metadata Only,,Plugin,
clear,plugins\cloud_security\clear,Python,Metadata Only,,Plugin,
cli,plugins\cloud_security\cli,Python,Metadata Only,,Plugin,
cloud-security,plugins\cloud_security\cloud-security,Python,Metadata Only,,Plugin,
cloudfront_mapper,plugins\cloud_security\cloudfront_mapper,Python,Metadata Only,,Plugin,
cloudmapper,plugins\cloud_security\cloudmapper,Python,Metadata Only,,Plugin,
cloud_agent,plugins\cloud_security\cloud_agent,Python,Metadata Only,,Plugin,
cloud_attack_surface,plugins\cloud_security\cloud_attack_surface,Python,Metadata Only,,Plugin,
cloud_storage,plugins\cloud_security\cloud_storage,Python,Metadata Only,,Plugin,
conftest_2,plugins\cloud_security\conftest_2,Python,Metadata Only,,Plugin,
container-breakout,plugins\cloud_security\container-breakout,Python,Metadata Only,,Plugin,
CUSTOMIZATION,plugins\cloud_security\CUSTOMIZATION,Python,Metadata Only,,Plugin,
CyberStrikeAITab,plugins\cloud_security\CyberStrikeAITab,Python,Metadata Only,,Plugin,
dec-2025,plugins\cloud_security\dec-2025,Python,Metadata Only,,Plugin,
demo,plugins\cloud_security\demo,Python,Metadata Only,,Plugin,
demo_1,plugins\cloud_security\demo_1,Python,Metadata Only,,Plugin,
dependabot_3,plugins\cloud_security\dependabot_3,Python,Metadata Only,,Plugin,
devcontainer,plugins\cloud_security\devcontainer,Python,Metadata Only,,Plugin,
DISCLAIMER,plugins\cloud_security\DISCLAIMER,Python,Metadata Only,,Plugin,
docker,plugins\cloud_security\docker,Python,Metadata Only,,Plugin,
docker-compose,plugins\cloud_security\docker-compose,Python,Metadata Only,,Plugin,
docker-compose_1,plugins\cloud_security\docker-compose_1,Python,Metadata Only,,Plugin,
docker-compose_2,plugins\cloud_security\docker-compose_2,Python,Metadata Only,,Plugin,
docker-compose_3,plugins\cloud_security\docker-compose_3,Python,Metadata Only,,Plugin,
Dockerfile_4,plugins\cloud_security\Dockerfile_4,Python,Metadata Only,,Plugin,
Dockerfile_7,plugins\cloud_security\Dockerfile_7,Python,Metadata Only,,Plugin,
Dockerfile_9,plugins\cloud_security\Dockerfile_9,Python,Metadata Only,,Plugin,
docker_2,plugins\cloud_security\docker_2,Python,Metadata Only,,Plugin,
docker_manager,plugins\cloud_security\docker_manager,Python,Metadata Only,,Plugin,
docker_nightly,plugins\cloud_security\docker_nightly,Python,Metadata Only,,Plugin,
docker_registry_analyzer,plugins\cloud_security\docker_registry_analyzer,Python,Metadata Only,,Plugin,
domains,plugins\cloud_security\domains,Python,Metadata Only,,Plugin,
embedder,plugins\cloud_security\embedder,Python,Metadata Only,,Plugin,
engagement-planner,plugins\cloud_security\engagement-planner,Python,Metadata Only,,Plugin,
entrypoint,plugins\cloud_security\entrypoint,Python,Metadata Only,,Plugin,
env,plugins\cloud_security\env,Python,Metadata Only,,Plugin,
env_3,plugins\cloud_security\env_3,Python,Metadata Only,,Plugin,
example-stig-finding,plugins\cloud_security\example-stig-finding,Python,Metadata Only,,Plugin,
executor_test,plugins\cloud_security\executor_test,Python,Metadata Only,,Plugin,
exploit-auth,plugins\cloud_security\exploit-auth,Python,Metadata Only,,Plugin,
exploit-authz,plugins\cloud_security\exploit-authz,Python,Metadata Only,,Plugin,
exploit-authz_2,plugins\cloud_security\exploit-authz_2,Python,Metadata Only,,Plugin,
exploit-auth_2,plugins\cloud_security\exploit-auth_2,Python,Metadata Only,,Plugin,
exploit-injection,plugins\cloud_security\exploit-injection,Python,Metadata Only,,Plugin,
exploit-xss,plugins\cloud_security\exploit-xss,Python,Metadata Only,,Plugin,
exploit-xss_2,plugins\cloud_security\exploit-xss_2,Python,Metadata Only,,Plugin,
export_menu,plugins\cloud_security\export_menu,Python,Metadata Only,,Plugin,
factory,plugins\cloud_security\factory,Python,Metadata Only,,Plugin,
fill-legal,plugins\cloud_security\fill-legal,Python,Metadata Only,,Plugin,
fingerprinter,plugins\cloud_security\fingerprinter,Python,Metadata Only,,Plugin,
fingerprintertest,plugins\cloud_security\fingerprintertest,Python,Metadata Only,,Plugin,
fix-workspace-permissions,plugins\cloud_security\fix-workspace-permissions,Python,Metadata Only,,Plugin,
gcp,plugins\cloud_security\gcp,Python,Metadata Only,,Plugin,
gcp_recon,plugins\cloud_security\gcp_recon,Python,Metadata Only,,Plugin,
github-banner,plugins\cloud_security\github-banner,Python,Metadata Only,,Plugin,
gitleaks,plugins\cloud_security\gitleaks,Python,Metadata Only,,Plugin,
go_2,plugins\cloud_security\go_2,Python,Metadata Only,,Plugin,
graphw00f,plugins\cloud_security\graphw00f,Python,Metadata Only,,Plugin,
hexstrike-logo,plugins\cloud_security\hexstrike-logo,Python,Metadata Only,,Plugin,
home,plugins\cloud_security\home,Python,Metadata Only,,Plugin,
index,plugins\cloud_security\index,Python,Metadata Only,,Plugin,
index_5,plugins\cloud_security\index_5,Python,Metadata Only,,Plugin,
javascript,plugins\cloud_security\javascript,Python,Metadata Only,,Plugin,
js-harvester-agent,plugins\cloud_security\js-harvester-agent,Python,Metadata Only,,Plugin,
kube-bench,plugins\cloud_security\kube-bench,Python,Metadata Only,,Plugin,
kube-hunter,plugins\cloud_security\kube-hunter,Python,Metadata Only,,Plugin,
kubernetes,plugins\cloud_security\kubernetes,Python,Metadata Only,,Plugin,
launch-config,plugins\cloud_security\launch-config,Python,Metadata Only,,Plugin,
leaksapi-banner,plugins\cloud_security\leaksapi-banner,Python,Metadata Only,,Plugin,
leaksapi-logo,plugins\cloud_security\leaksapi-logo,Python,Metadata Only,,Plugin,
LICENSE_1,plugins\cloud_security\LICENSE_1,Python,Metadata Only,,Plugin,
LICENSE_5,plugins\cloud_security\LICENSE_5,Python,Metadata Only,,Plugin,
litellm_provider,plugins\cloud_security\litellm_provider,Python,Metadata Only,,Plugin,
logo_3,plugins\cloud_security\logo_3,Python,Metadata Only,,Plugin,
main_13,plugins\cloud_security\main_13,Python,Metadata Only,,Plugin,
main_menu,plugins\cloud_security\main_menu,Python,Metadata Only,,Plugin,
Makefile,plugins\cloud_security\Makefile,Python,Metadata Only,,Plugin,
mindmap_obsidian,plugins\cloud_security\mindmap_obsidian,Python,Metadata Only,,Plugin,
misconfig-detector,plugins\cloud_security\misconfig-detector,Python,Metadata Only,,Plugin,
misconfigtest,plugins\cloud_security\misconfigtest,Python,Metadata Only,,Plugin,
mobile-pentester,plugins\cloud_security\mobile-pentester,Python,Metadata Only,,Plugin,
mode,plugins\cloud_security\mode,Python,Metadata Only,,Plugin,
orchestrator,plugins\cloud_security\orchestrator,Python,Metadata Only,,Plugin,
osint,plugins\cloud_security\osint,Python,Metadata Only,,Plugin,
outputs,plugins\cloud_security\outputs,Python,Metadata Only,,Plugin,
package_3,plugins\cloud_security\package_3,Python,Metadata Only,,Plugin,
pacu,plugins\cloud_security\pacu,Python,Metadata Only,,Plugin,
pentestgpt_executor,plugins\cloud_security\pentestgpt_executor,Python,Metadata Only,,Plugin,
PentestGPT_Hackable2,plugins\cloud_security\PentestGPT_Hackable2,Python,Metadata Only,,Plugin,
plugins,plugins\cloud_security\plugins,Python,Metadata Only,,Plugin,
pnpm-lock,plugins\cloud_security\pnpm-lock,Python,Metadata Only,,Plugin,
poc-validator,plugins\cloud_security\poc-validator,Python,Metadata Only,,Plugin,
pre-recon-code,plugins\cloud_security\pre-recon-code,Python,Metadata Only,,Plugin,
privesc-advisor,plugins\cloud_security\privesc-advisor,Python,Metadata Only,,Plugin,
privesc_agent,plugins\cloud_security\privesc_agent,Python,Metadata Only,,Plugin,
prowler,plugins\cloud_security\prowler,Python,Metadata Only,,Plugin,
pyproject_3,plugins\cloud_security\pyproject_3,Python,Metadata Only,,Plugin,
quick-start,plugins\cloud_security\quick-start,Python,Metadata Only,,Plugin,
README_21,plugins\cloud_security\README_21,Python,Metadata Only,,Plugin,
README_22,plugins\cloud_security\README_22,Python,Metadata Only,,Plugin,
README_28,plugins\cloud_security\README_28,Python,Metadata Only,,Plugin,
README_29,plugins\cloud_security\README_29,Python,Metadata Only,,Plugin,
README_30,plugins\cloud_security\README_30,Python,Metadata Only,,Plugin,
reconx,plugins\cloud_security\reconx,Python,Metadata Only,,Plugin,
release-beta,plugins\cloud_security\release-beta,Python,Metadata Only,,Plugin,
release_1,plugins\cloud_security\release_1,Python,Metadata Only,,Plugin,
requirements_7,plugins\cloud_security\requirements_7,Python,Metadata Only,,Plugin,
resolver,plugins\cloud_security\resolver,Python,Metadata Only,,Plugin,
results,plugins\cloud_security\results,Python,Metadata Only,,Plugin,
role-management,plugins\cloud_security\role-management,Python,Metadata Only,,Plugin,
rollback,plugins\cloud_security\rollback,Python,Metadata Only,,Plugin,
sarif,plugins\cloud_security\sarif,Python,Metadata Only,,Plugin,
scan_pipeline,plugins\cloud_security\scan_pipeline,Python,Metadata Only,,Plugin,
scan_running,plugins\cloud_security\scan_running,Python,Metadata Only,,Plugin,
scout-suite,plugins\cloud_security\scout-suite,Python,Metadata Only,,Plugin,
Screenshot2,plugins\cloud_security\Screenshot2,Python,Metadata Only,,Plugin,
Screenshot3,plugins\cloud_security\Screenshot3,Python,Metadata Only,,Plugin,
Screenshot4,plugins\cloud_security\Screenshot4,Python,Metadata Only,,Plugin,
secret-scanner-agent,plugins\cloud_security\secret-scanner-agent,Python,Metadata Only,,Plugin,
secure_credential,plugins\cloud_security\secure_credential,Python,Metadata Only,,Plugin,
security,plugins\cloud_security\security,Python,Metadata Only,,Plugin,
SECURITY_3,plugins\cloud_security\SECURITY_3,Python,Metadata Only,,Plugin,
selection_agent,plugins\cloud_security\selection_agent,Python,Metadata Only,,Plugin,
server_mcp_pentest_18,plugins\cloud_security\server_mcp_pentest_18,Python,Metadata Only,,Plugin,
service_analyzer,plugins\cloud_security\service_analyzer,Python,Metadata Only,,Plugin,
service_correlator_1,plugins\cloud_security\service_correlator_1,Python,Metadata Only,,Plugin,
settings,plugins\cloud_security\settings,Python,Metadata Only,,Plugin,
settings_2,plugins\cloud_security\settings_2,Python,Metadata Only,,Plugin,
setup,plugins\cloud_security\setup,Python,Metadata Only,,Plugin,
setup_1,plugins\cloud_security\setup_1,Python,Metadata Only,,Plugin,
shannon-banner,plugins\cloud_security\shannon-banner,Python,Metadata Only,,Plugin,
SHANNON-PRO_1,plugins\cloud_security\SHANNON-PRO_1,Python,Metadata Only,,Plugin,
shannon-report-capital-api,plugins\cloud_security\shannon-report-capital-api,Python,Metadata Only,,Plugin,
shannon-screen,plugins\cloud_security\shannon-screen,Python,Metadata Only,,Plugin,
shodan,plugins\cloud_security\shodan,Python,Metadata Only,,Plugin,
six2dez_reconftw-stars-history,plugins\cloud_security\six2dez_reconftw-stars-history,Python,Metadata Only,,Plugin,
skills,plugins\cloud_security\skills,Python,Metadata Only,,Plugin,
SKILL_1,plugins\cloud_security\SKILL_1,Python,Metadata Only,,Plugin,
SKILL_14,plugins\cloud_security\SKILL_14,Python,Metadata Only,,Plugin,
SKILL_16,plugins\cloud_security\SKILL_16,Python,Metadata Only,,Plugin,
SKILL_17,plugins\cloud_security\SKILL_17,Python,Metadata Only,,Plugin,
SKILL_4,plugins\cloud_security\SKILL_4,Python,Metadata Only,,Plugin,
social-engineer,plugins\cloud_security\social-engineer,Python,Metadata Only,,Plugin,
sponsor-wechat-alipay-qr,plugins\cloud_security\sponsor-wechat-alipay-qr,Python,Metadata Only,,Plugin,
ssrf_payloads,plugins\cloud_security\ssrf_payloads,Python,Metadata Only,,Plugin,
status,plugins\cloud_security\status,Python,Metadata Only,,Plugin,
stop,plugins\cloud_security\stop,Python,Metadata Only,,Plugin,
tch,plugins\cloud_security\tch,Python,Metadata Only,,Plugin,
tcp_beacon_server,plugins\cloud_security\tcp_beacon_server,Python,Metadata Only,,Plugin,
teardown,plugins\cloud_security\teardown,Python,Metadata Only,,Plugin,
techdetect,plugins\cloud_security\techdetect,Python,Metadata Only,,Plugin,
terraform-reconFTW,plugins\cloud_security\terraform-reconFTW,Python,Metadata Only,,Plugin,
test_ad_agent_e2e_smoke,plugins\cloud_security\test_ad_agent_e2e_smoke,Python,Metadata Only,,Plugin,
test_agents,plugins\cloud_security\test_agents,Python,Metadata Only,,Plugin,
test_benchmark_cli,plugins\cloud_security\test_benchmark_cli,Python,Metadata Only,,Plugin,
test_chain_context_discriminator,plugins\cloud_security\test_chain_context_discriminator,Python,Metadata Only,,Plugin,
test_cli_menu,plugins\cloud_security\test_cli_menu,Python,Metadata Only,,Plugin,
test_cloud_agent_e2e_smoke,plugins\cloud_security\test_cloud_agent_e2e_smoke,Python,Metadata Only,,Plugin,
test_container_health,plugins\cloud_security\test_container_health,Python,Metadata Only,,Plugin,
test_docker_build,plugins\cloud_security\test_docker_build,Python,Metadata Only,,Plugin,
test_flag_detection,plugins\cloud_security\test_flag_detection,Python,Metadata Only,,Plugin,
test_litellm_provider,plugins\cloud_security\test_litellm_provider,Python,Metadata Only,,Plugin,
test_misc_coverage_2,plugins\cloud_security\test_misc_coverage_2,Python,Metadata Only,,Plugin,
test_osint_domain_info_msftrecon,plugins\cloud_security\test_osint_domain_info_msftrecon,Python,Metadata Only,,Plugin,
test_providers_and_small_agents,plugins\cloud_security\test_providers_and_small_agents,Python,Metadata Only,,Plugin,
test_selection_agent,plugins\cloud_security\test_selection_agent,Python,Metadata Only,,Plugin,
trufflehog,plugins\cloud_security\trufflehog,Python,Metadata Only,,Plugin,
type_confusion,plugins\cloud_security\type_confusion,Python,Metadata Only,,Plugin,
uninstall,plugins\cloud_security\uninstall,Python,Metadata Only,,Plugin,
USAGE,plugins\cloud_security\USAGE,Python,Metadata Only,,Plugin,
usage_input,plugins\cloud_security\usage_input,Python,Metadata Only,,Plugin,
usage_output,plugins\cloud_security\usage_output,Python,Metadata Only,,Plugin,
usage_server1,plugins\cloud_security\usage_server1,Python,Metadata Only,,Plugin,
usage_server2,plugins\cloud_security\usage_server2,Python,Metadata Only,,Plugin,
variables,plugins\cloud_security\variables,Python,Metadata Only,,Plugin,
vectorDB,plugins\cloud_security\vectorDB,Python,Metadata Only,,Plugin,
vuln-auth,plugins\cloud_security\vuln-auth,Python,Metadata Only,,Plugin,
vuln-authz,plugins\cloud_security\vuln-authz,Python,Metadata Only,,Plugin,
vuln-authz_2,plugins\cloud_security\vuln-authz_2,Python,Metadata Only,,Plugin,
vuln-auth_2,plugins\cloud_security\vuln-auth_2,Python,Metadata Only,,Plugin,
vuln-injection,plugins\cloud_security\vuln-injection,Python,Metadata Only,,Plugin,
vuln-injection_2,plugins\cloud_security\vuln-injection_2,Python,Metadata Only,,Plugin,
vuln-xss,plugins\cloud_security\vuln-xss,Python,Metadata Only,,Plugin,
vuln-xss_2,plugins\cloud_security\vuln-xss_2,Python,Metadata Only,,Plugin,
vulnerability-management,plugins\cloud_security\vulnerability-management,Python,Metadata Only,,Plugin,
waf-detector-agent,plugins\cloud_security\waf-detector-agent,Python,Metadata Only,,Plugin,
wafw00f,plugins\cloud_security\wafw00f,Python,Metadata Only,,Plugin,
web-console,plugins\cloud_security\web-console,Python,Metadata Only,,Plugin,
wechat-group-cyberstrikeai-qr,plugins\cloud_security\wechat-group-cyberstrikeai-qr,Python,Metadata Only,,Plugin,
whois,plugins\cloud_security\whois,Python,Metadata Only,,Plugin,
workflow_center,plugins\cloud_security\workflow_center,Python,Metadata Only,,Plugin,
