Repository,Documentation Type,File,Status
hitl_context,Usage/Info,plugins\ai_systems\hitl_context\README.md,Recovered
hitl_middleware,Usage/Info,plugins\ai_systems\hitl_middleware\README.md,Recovered
holder,Usage/Info,plugins\ai_systems\holder\README.md,Recovered
HttpMessageFormatter,Usage/Info,plugins\ai_systems\HttpMessageFormatter\README.md,Recovered
impact-exfiltration,Usage/Info,plugins\ai_systems\impact-exfiltration\README.md,Recovered
index,Usage/Info,plugins\ai_systems\index\README.md,Recovered
index_12,Usage/Info,plugins\ai_systems\index_12\README.md,Recovered
index_3,Usage/Info,plugins\ai_systems\index_3\README.md,Recovered
index_4,Usage/Info,plugins\ai_systems\index_4\README.md,Recovered
index_9,Usage/Info,plugins\ai_systems\index_9\README.md,Recovered
install_preferences,Usage/Info,plugins\ai_systems\install_preferences\README.md,Recovered
interrupt,Usage/Info,plugins\ai_systems\interrupt\README.md,Recovered
lateral-movement,Usage/Info,plugins\ai_systems\lateral-movement\README.md,Recovered
layout,Usage/Info,plugins\ai_systems\layout\README.md,Recovered
listener_tcp,Usage/Info,plugins\ai_systems\listener_tcp\README.md,Recovered
log-stream,Usage/Info,plugins\ai_systems\log-stream\README.md,Recovered
logger,Usage/Info,plugins\ai_systems\logger\README.md,Recovered
logger_1,Usage/Info,plugins\ai_systems\logger_1\README.md,Recovered
login-instructions,Usage/Info,plugins\ai_systems\login-instructions\README.md,Recovered
login-instructions_1,Usage/Info,plugins\ai_systems\login-instructions_1\README.md,Recovered
logo,Usage/Info,plugins\ai_systems\logo\README.md,Recovered
main_12,Usage/Info,plugins\ai_systems\main_12\README.md,Recovered
main_3,Usage/Info,plugins\ai_systems\main_3\README.md,Recovered
main_8,Usage/Info,plugins\ai_systems\main_8\README.md,Recovered
markdown_orchestrator_test,Usage/Info,plugins\ai_systems\markdown_orchestrator_test\README.md,Recovered
mcp_pent_claude_agent,Usage/Info,plugins\ai_systems\mcp_pent_claude_agent\README.md,Recovered
mcp_tools,Usage/Info,plugins\ai_systems\mcp_tools\README.md,Recovered
memory,Usage/Info,plugins\ai_systems\memory\README.md,Recovered
metrics,Usage/Info,plugins\ai_systems\metrics\README.md,Recovered
models,Usage/Info,plugins\ai_systems\models\README.md,Recovered
model_manager,Usage/Info,plugins\ai_systems\model_manager\README.md,Recovered
multi_agent_prepare,Usage/Info,plugins\ai_systems\multi_agent_prepare\README.md,Recovered
navigator,Usage/Info,plugins\ai_systems\navigator\README.md,Recovered
normalize_streaming_delta_test,Usage/Info,plugins\ai_systems\normalize_streaming_delta_test\README.md,Recovered
normalize_streaming_eof_test,Usage/Info,plugins\ai_systems\normalize_streaming_eof_test\README.md,Recovered
opsec-evasion,Usage/Info,plugins\ai_systems\opsec-evasion\README.md,Recovered
orchestratortest,Usage/Info,plugins\ai_systems\orchestratortest\README.md,Recovered
orchestrator_instruction,Usage/Info,plugins\ai_systems\orchestrator_instruction\README.md,Recovered
orphan_tool_pruner_middleware_test,Usage/Info,plugins\ai_systems\orphan_tool_pruner_middleware_test\README.md,Recovered
otel,Usage/Info,plugins\ai_systems\otel\README.md,Recovered
package-lock_1,Usage/Info,plugins\ai_systems\package-lock_1\README.md,Recovered
package_2,Usage/Info,plugins\ai_systems\package_2\README.md,Recovered
package_4,Usage/Info,plugins\ai_systems\package_4\README.md,Recovered
paths_1,Usage/Info,plugins\ai_systems\paths_1\README.md,Recovered
payload_builder,Usage/Info,plugins\ai_systems\payload_builder\README.md,Recovered
PentestGPT_design,Usage/Info,plugins\ai_systems\PentestGPT_design\README.md,Recovered
persistence-maintenance,Usage/Info,plugins\ai_systems\persistence-maintenance\README.md,Recovered
plan_execute_executor,Usage/Info,plugins\ai_systems\plan_execute_executor\README.md,Recovered
plan_execute_steps_cap,Usage/Info,plugins\ai_systems\plan_execute_steps_cap\README.md,Recovered
plan_execute_steps_cap_test,Usage/Info,plugins\ai_systems\plan_execute_steps_cap_test\README.md,Recovered
plan_execute_text,Usage/Info,plugins\ai_systems\plan_execute_text\README.md,Recovered
plan_execute_text_test,Usage/Info,plugins\ai_systems\plan_execute_text_test\README.md,Recovered
plugin_3,Usage/Info,plugins\ai_systems\plugin_3\README.md,Recovered
plugin_center,Usage/Info,plugins\ai_systems\plugin_center\README.md,Recovered
pnpm-workspace,Usage/Info,plugins\ai_systems\pnpm-workspace\README.md,Recovered
portscan-all-tcp-ports,Usage/Info,plugins\ai_systems\portscan-all-tcp-ports\README.md,Recovered
portscan-top-100-udp-ports,Usage/Info,plugins\ai_systems\portscan-top-100-udp-ports\README.md,Recovered
pre-commit-config,Usage/Info,plugins\ai_systems\pre-commit-config\README.md,Recovered
pre-recon-code_3,Usage/Info,plugins\ai_systems\pre-recon-code_3\README.md,Recovered
privilege-escalation,Usage/Info,plugins\ai_systems\privilege-escalation\README.md,Recovered
production,Usage/Info,plugins\ai_systems\production\README.md,Recovered
progress-manager,Usage/Info,plugins\ai_systems\progress-manager\README.md,Recovered
prompt-manager,Usage/Info,plugins\ai_systems\prompt-manager\README.md,Recovered
prompts,Usage/Info,plugins\ai_systems\prompts\README.md,Recovered
prompt_select,Usage/Info,plugins\ai_systems\prompt_select\README.md,Recovered
README_14,Usage/Info,plugins\ai_systems\README_14\README.md,Recovered
README_34,Usage/Info,plugins\ai_systems\README_34\README.md,Recovered
README_35,Usage/Info,plugins\ai_systems\README_35\README.md,Recovered
README_40,Usage/Info,plugins\ai_systems\README_40\README.md,Recovered
reasoning_trace,Usage/Info,plugins\ai_systems\reasoning_trace\README.md,Recovered
reasoning_trace_test,Usage/Info,plugins\ai_systems\reasoning_trace_test\README.md,Recovered
reconftw_prox_deploy,Usage/Info,plugins\ai_systems\reconftw_prox_deploy\README.md,Recovered
recon_3,Usage/Info,plugins\ai_systems\recon_3\README.md,Recovered
registry_4,Usage/Info,plugins\ai_systems\registry_4\README.md,Recovered
registry_8,Usage/Info,plugins\ai_systems\registry_8\README.md,Recovered
registry_bridge,Usage/Info,plugins\ai_systems\registry_bridge\README.md,Recovered
remediation-agent,Usage/Info,plugins\ai_systems\remediation-agent\README.md,Recovered
report-output-provider,Usage/Info,plugins\ai_systems\report-output-provider\README.md,Recovered
reporting-remediation,Usage/Info,plugins\ai_systems\reporting-remediation\README.md,Recovered
report_agent,Usage/Info,plugins\ai_systems\report_agent\README.md,Recovered
result,Usage/Info,plugins\ai_systems\result\README.md,Recovered
role,Usage/Info,plugins\ai_systems\role\README.md,Recovered
router,Usage/Info,plugins\ai_systems\router\README.md,Recovered
runner_reasoning_history_test,Usage/Info,plugins\ai_systems\runner_reasoning_history_test\README.md,Recovered
run_context,Usage/Info,plugins\ai_systems\run_context\README.md,Recovered
save-deliverable,Usage/Info,plugins\ai_systems\save-deliverable\README.md,Recovered
service_1,Usage/Info,plugins\ai_systems\service_1\README.md,Recovered
settings_3,Usage/Info,plugins\ai_systems\settings_3\README.md,Recovered
settings_4,Usage/Info,plugins\ai_systems\settings_4\README.md,Recovered
skills,Usage/Info,plugins\ai_systems\skills\README.md,Recovered
splash,Usage/Info,plugins\ai_systems\splash\README.md,Recovered
sse_stream,Usage/Info,plugins\ai_systems\sse_stream\README.md,Recovered
styles,Usage/Info,plugins\ai_systems\styles\README.md,Recovered
summary-mapper,Usage/Info,plugins\ai_systems\summary-mapper\README.md,Recovered
task_handler,Usage/Info,plugins\ai_systems\task_handler\README.md,Recovered
task_manager,Usage/Info,plugins\ai_systems\task_manager\README.md,Recovered
task_processor,Usage/Info,plugins\ai_systems\task_processor\README.md,Recovered
task_tree_manager,Usage/Info,plugins\ai_systems\task_tree_manager\README.md,Recovered
test-multibar,Usage/Info,plugins\ai_systems\test-multibar\README.md,Recovered
test_async_prompt,Usage/Info,plugins\ai_systems\test_async_prompt\README.md,Recovered
test_backend_interface,Usage/Info,plugins\ai_systems\test_backend_interface\README.md,Recovered
test_base_agent_coverage,Usage/Info,plugins\ai_systems\test_base_agent_coverage\README.md,Recovered
test_controller,Usage/Info,plugins\ai_systems\test_controller\README.md,Recovered
test_cost_tracker,Usage/Info,plugins\ai_systems\test_cost_tracker\README.md,Recovered
test_events,Usage/Info,plugins\ai_systems\test_events\README.md,Recovered
test_install_planner,Usage/Info,plugins\ai_systems\test_install_planner\README.md,Recovered
test_integration,Usage/Info,plugins\ai_systems\test_integration\README.md,Recovered
test_langfuse,Usage/Info,plugins\ai_systems\test_langfuse\README.md,Recovered
test_mcp_auth_session_reuse,Usage/Info,plugins\ai_systems\test_mcp_auth_session_reuse\README.md,Recovered
test_mcp_client_and_hitl,Usage/Info,plugins\ai_systems\test_mcp_client_and_hitl\README.md,Recovered
test_mcp_server,Usage/Info,plugins\ai_systems\test_mcp_server\README.md,Recovered
test_output_parser,Usage/Info,plugins\ai_systems\test_output_parser\README.md,Recovered
test_playbook,Usage/Info,plugins\ai_systems\test_playbook\README.md,Recovered
test_stage2_integration,Usage/Info,plugins\ai_systems\test_stage2_integration\README.md,Recovered
test_trigger_system,Usage/Info,plugins\ai_systems\test_trigger_system\README.md,Recovered
test_web_agent_set_auth,Usage/Info,plugins\ai_systems\test_web_agent_set_auth\README.md,Recovered
tmux_manager,Usage/Info,plugins\ai_systems\tmux_manager\README.md,Recovered
tool_error_middleware,Usage/Info,plugins\ai_systems\tool_error_middleware\README.md,Recovered
tool_error_middleware_test,Usage/Info,plugins\ai_systems\tool_error_middleware_test\README.md,Recovered
tool_invoke_notify,Usage/Info,plugins\ai_systems\tool_invoke_notify\README.md,Recovered
tracer,Usage/Info,plugins\ai_systems\tracer\README.md,Recovered
trigger_system,Usage/Info,plugins\ai_systems\trigger_system\README.md,Recovered
truncate_test,Usage/Info,plugins\ai_systems\truncate_test\README.md,Recovered
tsdownconfig,Usage/Info,plugins\ai_systems\tsdownconfig\README.md,Recovered
tui,Usage/Info,plugins\ai_systems\tui\README.md,Recovered
types_7,Usage/Info,plugins\ai_systems\types_7\README.md,Recovered
utils,Usage/Info,plugins\ai_systems\utils\README.md,Recovered
validate,Usage/Info,plugins\ai_systems\validate\README.md,Recovered
validate-authentication,Usage/Info,plugins\ai_systems\validate-authentication\README.md,Recovered
validation-harness,Usage/Info,plugins\ai_systems\validation-harness\README.md,Recovered
vulnerability-triage,Usage/Info,plugins\ai_systems\vulnerability-triage\README.md,Recovered
Web,Usage/Info,plugins\ai_systems\Web\README.md,Recovered
webshell_context,Usage/Info,plugins\ai_systems\webshell_context\README.md,Recovered
webshell_context_test,Usage/Info,plugins\ai_systems\webshell_context_test\README.md,Recovered
webshell_probe,Usage/Info,plugins\ai_systems\webshell_probe\README.md,Recovered
wechat,Usage/Info,plugins\ai_systems\wechat\README.md,Recovered
wireless_agent,Usage/Info,plugins\ai_systems\wireless_agent\README.md,Recovered
workflow-logger,Usage/Info,plugins\ai_systems\workflow-logger\README.md,Recovered
workflow_engine,Usage/Info,plugins\ai_systems\workflow_engine\README.md,Recovered
_14,Usage/Info,plugins\ai_systems\_14\README.md,Recovered
_rules_1,Usage/Info,plugins\ai_systems\_rules_1\README.md,Recovered
_target_1,Usage/Info,plugins\ai_systems\_target_1\README.md,Recovered
__init___109,Usage/Info,plugins\ai_systems\__init___109\README.md,Recovered
__init___11,Usage/Info,plugins\ai_systems\__init___11\README.md,Recovered
__init___141,Usage/Info,plugins\ai_systems\__init___141\README.md,Recovered
__init___144,Usage/Info,plugins\ai_systems\__init___144\README.md,Recovered
__init___17,Usage/Info,plugins\ai_systems\__init___17\README.md,Recovered
__init___202,Usage/Info,plugins\ai_systems\__init___202\README.md,Recovered
__init___211,Usage/Info,plugins\ai_systems\__init___211\README.md,Recovered
__init___29,Usage/Info,plugins\ai_systems\__init___29\README.md,Recovered
__init___31,Usage/Info,plugins\ai_systems\__init___31\README.md,Recovered
__init___50,Usage/Info,plugins\ai_systems\__init___50\README.md,Recovered
__init___52,Usage/Info,plugins\ai_systems\__init___52\README.md,Recovered
__init___6,Usage/Info,plugins\ai_systems\__init___6\README.md,Recovered
__init___70,Usage/Info,plugins\ai_systems\__init___70\README.md,Recovered
activities,Usage/Info,plugins\api_security\activities\README.md,Recovered
agent-execution,Usage/Info,plugins\api_security\agent-execution\README.md,Recovered
agents,Usage/Info,plugins\api_security\agents\README.md,Recovered
agent_1,Usage/Info,plugins\api_security\agent_1\README.md,Recovered
agent_runner,Usage/Info,plugins\api_security\agent_runner\README.md,Recovered
agent_test,Usage/Info,plugins\api_security\agent_test\README.md,Recovered
anthropic_agent,Usage/Info,plugins\api_security\anthropic_agent\README.md,Recovered
anthropic_official,Usage/Info,plugins\api_security\anthropic_official\README.md,Recovered
api,Usage/Info,plugins\api_security\api\README.md,Recovered
api-discoverer-agent,Usage/Info,plugins\api_security\api-discoverer-agent\README.md,Recovered
api-discovery,Usage/Info,plugins\api_security\api-discovery\README.md,Recovered
api-discoverytest,Usage/Info,plugins\api_security\api-discoverytest\README.md,Recovered
api-docs,Usage/Info,plugins\api_security\api-docs\README.md,Recovered
api-schema-analyzer,Usage/Info,plugins\api_security\api-schema-analyzer\README.md,Recovered
apitest,Usage/Info,plugins\api_security\apitest\README.md,Recovered
api_authentication,Usage/Info,plugins\api_security\api_authentication\README.md,Recovered
api_pipeline,Usage/Info,plugins\api_security\api_pipeline\README.md,Recovered
app,Usage/Info,plugins\api_security\app\README.md,Recovered
app_2,Usage/Info,plugins\api_security\app_2\README.md,Recovered
app_config,Usage/Info,plugins\api_security\app_config\README.md,Recovered
asvs-mapper,Usage/Info,plugins\api_security\asvs-mapper\README.md,Recovered
async_prompt,Usage/Info,plugins\api_security\async_prompt\README.md,Recovered
attackchain,Usage/Info,plugins\api_security\attackchain\README.md,Recovered
audit,Usage/Info,plugins\api_security\audit\README.md,Recovered
audit-session,Usage/Info,plugins\api_security\audit-session\README.md,Recovered
audit_1,Usage/Info,plugins\api_security\audit_1\README.md,Recovered
aup_consent,Usage/Info,plugins\api_security\aup_consent\README.md,Recovered
auth,Usage/Info,plugins\api_security\auth\README.md,Recovered
auth_analyzer,Usage/Info,plugins\api_security\auth_analyzer\README.md,Recovered
auth_cache,Usage/Info,plugins\api_security\auth_cache\README.md,Recovered
backend,Usage/Info,plugins\api_security\backend\README.md,Recovered
banner_analyzer,Usage/Info,plugins\api_security\banner_analyzer\README.md,Recovered
billing-detection,Usage/Info,plugins\api_security\billing-detection\README.md,Recovered
build,Usage/Info,plugins\api_security\build\README.md,Recovered
build-mvn,Usage/Info,plugins\api_security\build-mvn\README.md,Recovered
burp_client,Usage/Info,plugins\api_security\burp_client\README.md,Recovered
burp_commands,Usage/Info,plugins\api_security\burp_commands\README.md,Recovered
business-logic-agent,Usage/Info,plugins\api_security\business-logic-agent\README.md,Recovered
c2_lifecycle,Usage/Info,plugins\api_security\c2_lifecycle\README.md,Recovered
c2_tools,Usage/Info,plugins\api_security\c2_tools\README.md,Recovered
captcha_replay,Usage/Info,plugins\api_security\captcha_replay\README.md,Recovered
chain,Usage/Info,plugins\api_security\chain\README.md,Recovered
chat-files,Usage/Info,plugins\api_security\chat-files\README.md,Recovered
chatgpt,Usage/Info,plugins\api_security\chatgpt\README.md,Recovered
chatgpt_api,Usage/Info,plugins\api_security\chatgpt_api\README.md,Recovered
chatgpt_config_sample,Usage/Info,plugins\api_security\chatgpt_config_sample\README.md,Recovered
chat_config,Usage/Info,plugins\api_security\chat_config\README.md,Recovered
checkpoint,Usage/Info,plugins\api_security\checkpoint\README.md,Recovered
checkpoint-manager,Usage/Info,plugins\api_security\checkpoint-manager\README.md,Recovered
citations,Usage/Info,plugins\api_security\citations\README.md,Recovered
clair,Usage/Info,plugins\api_security\clair\README.md,Recovered
claude_bridge,Usage/Info,plugins\api_security\claude_bridge\README.md,Recovered
client,Usage/Info,plugins\api_security\client\README.md,Recovered
CODE_OF_CONDUCT,Usage/Info,plugins\api_security\CODE_OF_CONDUCT\README.md,Recovered
config,Usage/Info,plugins\api_security\config\README.md,Recovered
config-loader,Usage/Info,plugins\api_security\config-loader\README.md,Recovered
config_2,Usage/Info,plugins\api_security\config_2\README.md,Recovered
config_5,Usage/Info,plugins\api_security\config_5\README.md,Recovered
config_6,Usage/Info,plugins\api_security\config_6\README.md,Recovered
conftest,Usage/Info,plugins\api_security\conftest\README.md,Recovered
constants,Usage/Info,plugins\api_security\constants\README.md,Recovered
content_fingerprint,Usage/Info,plugins\api_security\content_fingerprint\README.md,Recovered
CONTRIBUTING_2,Usage/Info,plugins\api_security\CONTRIBUTING_2\README.md,Recovered
CONTRIBUTING_3,Usage/Info,plugins\api_security\CONTRIBUTING_3\README.md,Recovered
CONTRIBUTING_4,Usage/Info,plugins\api_security\CONTRIBUTING_4\README.md,Recovered
conversation,Usage/Info,plugins\api_security\conversation\README.md,Recovered
corpus,Usage/Info,plugins\api_security\corpus\README.md,Recovered
cors-probe-agent,Usage/Info,plugins\api_security\cors-probe-agent\README.md,Recovered
