Repository,Primary Category,Secondary Category,Language,Recovery Score,Status
auth_2,Utilities,Framework Components,Python,0.0,Wrapper Only
debug-world-model,Utilities,Framework Components,Python,0.0,Wrapper Only
dotdotpwn,Utilities,Framework Components,Python,0.0,Wrapper Only
exposure_prioritizer,Utilities,Framework Components,Python,0.0,Wrapper Only
fingerprint_correlator,Utilities,Framework Components,Python,0.0,Wrapper Only
index_15,Utilities,Framework Components,Python,0.0,Wrapper Only
index_16,Utilities,Framework Components,Python,0.0,Wrapper Only
lint_python,Utilities,Framework Components,Python,0.0,Wrapper Only
main_7,AI Agents,Automation,Python,35.0,Wrapper Only
model-registry,Utilities,Framework Components,Python,0.0,Wrapper Only
netexec,Utilities,Framework Components,Python,0.0,Wrapper Only
package,Utilities,Framework Components,Python,0.0,Wrapper Only
