Repository,Primary Category,Secondary Category,Language,Recovery Score,Status
exploit-injection_3,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploit-ssrf_1,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploit-ssrf_3,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploit-xss_1,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploit-xss_3,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
exploitation-checker,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
export,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
export-metrics,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
finalizers,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
findings,Web Enumeration,Content Discovery,Python,15.0,Metadata Only
FINDINGS-DB,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
findings-provider,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
findings-renderer,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
generators,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
gowitness,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
Hackable2_3,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
handoff,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
index_pipeline,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
Kioptrix_level_1,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
listener_http_test,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
manager,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
manager_start_test,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
menu_system,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
metasploit,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
metasploit_aux,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
metatron,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
migrate,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
net-recon-agent,AI Agents,Automation,Python,0.0,Wrapper Only
nikto,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
nmap-distccd,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
nmap_2,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
notification,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
output-formatter,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
output-formatters,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
payloads,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
pentestTarget,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
pipeline,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
primitives,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
prompt_class,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
pwntools,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
query-execution-result,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
queue-schemas,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
queue-validation,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
report-executive,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
report-executive_3,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
report-generator,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
reporting,Utilities,Framework Components,Python,40.0,Partially Recovered
requester,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
requestercpython-313,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
retriever,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
schema,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
schema_migrate,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
session-manager,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
settings-writer,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
SKILL_10,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
SKILL_15,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
SKILL_21,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
target,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
task,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_aup_consent,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_benchmark_registry,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_chain_dedup,AI Agents,Automation,Python,0.0,Wrapper Only
test_chain_validation,AI Agents,Automation,Python,0.0,Wrapper Only
test_cve_db,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_cvss,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_diff,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_findings,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_findings_db_reaper,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_findings_db_reconciler,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_handler_finalizers,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_intensity_safe,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_orchestrator,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_probe_cookie_prefix_bypass,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_probe_jwt_jku_x5u_ssrf,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_probe_nextjs_rsc_rce,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_probe_saml_xsw,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_probe_sqli_login_bypass,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_sarif,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
test_webhooks,Web Enumeration,Content Discovery,Python,0.0,Wrapper Only
tls-analyzer,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
TOKEN-OPTIMIZATION,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
tool,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
types_5,Vulnerability Scanning,Assessment,Python,0.0,Wrapper Only
